Species,Code,2004,2016,Included
Acer rubrum,ACRU,1,1,1
Andropogon spp.,ANDR,1,1,1
Arundinaria gigantea,ARGI,1,1,1
Asclepias lanceolatus,ASLA,0,1,0
Baccharis halimifolia,BAHA,1,1,1
Bare ground/open water,BARE,1,1,1
Campsis radicans,CARA,0,1,0
Carex glaucescens,CAGL,1,0,0
Carex lucida,CALU,1,0,0
Carpinus caroliniana,CACA,0,1,0
Cladium jamaicense,CLJA,1,1,1
Cyperus spp.,CYPE,1,0,0
Dead vegetation,DEAD,1,1,1
Dicantheleum spp.,DICA,1,0,0
Disticlis spicta,DISP,1,1,1
Eleocharis spp.,ELEO,1,1,1
Eupatorium spp.,EUPA,1,1,1
Fimbristylis spadicea,FISP,1,0,0
Galium tinctorium,GATI,1,1,1
Galusaccia dumosa,GADU,0,1,0
Gelsemium sempervirens,GESE,1,1,1
Hydrocotyle spp.,HYDR,1,1,1
Ilex glabra,ILGL,1,1,1
Ilex vomitoria,ILVO,1,0,0
Ipomoea sagittata,IPSA,0,1,0
Iris spp.,IRIS,0,1,0
Iva fructescens,IVFR,1,1,1
Juncus effusus,JUEF,1,1,1
Juncus romerianus,JURO,1,1,1
Juniperus virginiana,JUVI,1,0,0
Kosteletzkya virginica,KOVI,1,1,1
Liquidambar styraciflua,LIST,1,1,1
Lonicera japonica,LOJA,0,1,0
Ludwigia alternifolia,LUAL,1,0,0
Lyonia ligustrina,LYLI,1,1,1
Lyonia lucida,LYLU,1,1,1
Magnolia virginica,MAVI,0,1,0
Microstegium vimineum ,MICR,0,1,0
Mycrica cerifera,MYCE,1,1,1
Nyssa bicolor,NYBI,0,1,0
Osmunda regalis,OSRE,1,1,1
Parthenocissus quinquefolia,PAQU,1,1,0
Peltandra spp.,PESP,0,1,0
Persea palustris,PEPA,1,1,1
Phragmites autralis,PHAU,1,1,1
Pinus spp.,PINE,1,1,1
Pontedaria spp.,POSP,0,1,0
Pyrola spp.,PYLA,1,0,0
Quercus nigra,QUNI,1,0,0
Rhus copallinum,RHCO,1,1,1
Rhynchospora spp.,RHYN,1,0,0
Rosa parviflora,ROPA,1,1,1
Rubus spp.,RUBUS,0,1,0
Samolus parviflorus,SAPA,1,0,0
Schoenoplectus spp.,SCIRPUS,1,1,1
Setearia magna,SEMA,1,0,0
Seteria geniculata,SEGE,1,0,0
Smilax spp.,SMILAX,1,1,1
Solidago spp.,SOLI,1,1,1
Spartina cynosuoides,SPCY,1,0,0
Spartina patens,SPPA,1,1,1
Sphagnum moss,SPHA,1,1,1
Symplocos tinctoria,SYTI,1,0,0
Toxicodendron radicans,TORA,1,1,1
Typha latifolia,TYLA,1,1,1
Unknown fern,FERN,0,1,0
Vaccinium spp.,VACC,1,1,1
Viburnum spp.,VIBU,1,0,0
Vitus rotundifolia,VIRO,0,1,0
Woodwardia virginica,WOVI,1,1,1
Wrack (consolidated dead vegetation),WRACK,1,1,1
